otel,dd,description
kv_concurrency_locks_with_wait_queues,cockroachdb.kv.concurrency.locks_with_wait_queues,Number of active locks held in lock tables with active wait-queues
kv_concurrency_max_lock_hold_duration_nanos,cockroachdb.kv.concurrency.max_lock_hold_duration_nanos,Maximum length of time any lock in a lock table is held. Does not include replicated locks (intents) that are not held in memory
kv_concurrency_max_lock_wait_duration_nanos,cockroachdb.kv.concurrency.max_lock_wait_duration_nanos,Maximum lock wait duration across requests currently waiting in lock wait-queues
kv_concurrency_max_lock_wait_queue_waiters_for_lock,cockroachdb.kv.concurrency.max_lock_wait_queue_waiters_for_lock,Maximum number of requests actively waiting in any single lock wait-queue
kv_loadsplitter_nosplitkey,cockroachdb.kv.loadsplitter.nosplitkey.count,Load-based splitter could not find a split key.
kv_loadsplitter_popularkey,cockroachdb.kv.loadsplitter.popularkey.count,Load-based splitter could not find a split key and the most popular sampled split key occurs in >= 25% of the samples.
kv_prober_planning_attempts,cockroachdb.kv.prober.planning_attempts.count,Number of attempts at planning out probes made; in order to probe KV we need to plan out which ranges to probe;
kv_prober_planning_failures,cockroachdb.kv.prober.planning_failures.count,"Number of attempts at planning out probes that failed; in order to probe KV we need to plan out which ranges to probe; if planning fails, then kvprober is not able to send probes to all ranges; consider alerting on this metric as a result"
kv_prober_read_attempts,cockroachdb.kv.prober.read.attempts.count,"Number of attempts made to read probe KV, regardless of outcome"
kv_prober_read_failures,cockroachdb.kv.prober.read.failures.count,"Number of attempts made to read probe KV that failed, whether due to error or timeout"
kv_prober_read_latency,cockroachdb.kv.prober.read.latency.count,Latency of successful KV read probes
kv_prober_write_attempts,cockroachdb.kv.prober.write.attempts.count,"Number of attempts made to write probe KV, regardless of outcome"
kv_prober_write_failures,cockroachdb.kv.prober.write.failures.count,"Number of attempts made to write probe KV that failed, whether due to error or timeout"
kv_prober_write_latency,cockroachdb.kv.prober.write.latency.count,Latency of successful KV write probes
kv_prober_write_quarantine_oldest_duration,cockroachdb.kv.prober.write.quarantine.oldest_duration,The duration that the oldest range in the write quarantine pool has remained
kv_protectedts_reconciliation_errors,cockroachdb.kv.protectedts.reconciliation.errors.count,number of errors encountered during reconciliation runs on this node
kv_protectedts_reconciliation_num_runs,cockroachdb.kv.protectedts.reconciliation.num_runs.count,number of successful reconciliation runs on this node
kv_protectedts_reconciliation_records_processed,cockroachdb.kv.protectedts.reconciliation.records_processed.count,number of records processed without error during reconciliation on this node
kv_protectedts_reconciliation_records_removed,cockroachdb.kv.protectedts.reconciliation.records_removed.count,number of records removed during reconciliation runs on this node
kv_rangefeed_budget_allocation_blocked,cockroachdb.kv.rangefeed.budget_allocation_blocked.count,Number of times RangeFeed waited for budget availability
kv_rangefeed_budget_allocation_failed,cockroachdb.kv.rangefeed.budget_allocation_failed.count,Number of times RangeFeed failed because memory budget was exceeded
kv_rangefeed_catchup_scan_nanos,cockroachdb.kv.rangefeed.catchup_scan_nanos.count,Time spent in RangeFeed catchup scan
kv_rangefeed_mem_shared,cockroachdb.kv.rangefeed.mem_shared,Memory usage by rangefeeds
kv_rangefeed_mem_system,cockroachdb.kv.rangefeed.mem_system,Memory usage by rangefeeds on system ranges
kv_rangefeed_processors_goroutine,cockroachdb.kv.rangefeed.processors_goroutine,Number of active RangeFeed processors using goroutines
kv_rangefeed_processors_scheduler,cockroachdb.kv.rangefeed.processors_scheduler,Number of active RangeFeed processors using scheduler
kv_rangefeed_registrations,cockroachdb.kv.rangefeed.registrations,Number of active RangeFeed registrations
kv_rangefeed_scheduler_normal_latency,cockroachdb.kv.rangefeed.scheduler.normal.latency.count,KV RangeFeed normal scheduler latency
kv_rangefeed_scheduler_normal_queue_size,cockroachdb.kv.rangefeed.scheduler.normal.queue_size,Number of entries in the KV RangeFeed normal scheduler queue
kv_rangefeed_scheduler_system_latency,cockroachdb.kv.rangefeed.scheduler.system.latency.count,KV RangeFeed system scheduler latency
kv_rangefeed_scheduler_system_queue_size,cockroachdb.kv.rangefeed.scheduler.system.queue_size,Number of entries in the KV RangeFeed system scheduler queue
kv_replica_circuit_breaker_num_tripped_events,cockroachdb.kv.replica_circuit_breaker.num_tripped_events.count,Number of times the per-Replica circuit breakers tripped since process start.
kv_replica_circuit_breaker_num_tripped_replicas,cockroachdb.kv.replica_circuit_breaker.num_tripped_replicas,"Number of Replicas for which the per-Replica circuit breaker is currently tripped. A nonzero value indicates range or replica unavailability, and should be investigated. Replicas in this state will fail-fast all inbound requests."
kv_replica_read_batch_evaluate_dropped_latches_before_eval,cockroachdb.kv.replica_read_batch_evaluate.dropped_latches_before_eval.count,Number of times read-only batches dropped latches before evaluation.
kv_replica_read_batch_evaluate_latency,cockroachdb.kv.replica_read_batch_evaluate.latency.count,"Execution duration for evaluating a BatchRequest on the read-only path after latches have been acquired. A measurement is recorded regardless of outcome (i.e. also in case of an error). If internal retries occur, each instance is recorded separately."
kv_replica_read_batch_evaluate_without_interleaving_iter,cockroachdb.kv.replica_read_batch_evaluate.without_interleaving_iter.count,Number of read-only batches evaluated without an intent interleaving iter.
kv_replica_write_batch_evaluate_latency,cockroachdb.kv.replica_write_batch_evaluate.latency.count,"Execution duration for evaluating a BatchRequest on the read-write path after latches have been acquired. A measurement is recorded regardless of outcome (i.e. also in case of an error). If internal retries occur, each instance is recorded separately. Note that the measurement does not include the duration for replicating the evaluated command."
kv_tenant_rate_limit_current_blocked,cockroachdb.kv.tenant_rate_limit.current_blocked,Number of requests currently blocked by the rate limiter
kv_tenant_rate_limit_num_tenants,cockroachdb.kv.tenant_rate_limit.num_tenants,Number of tenants currently being tracked
kv_tenant_rate_limit_read_batches_admitted,cockroachdb.kv.tenant_rate_limit.read_batches_admitted.count,Number of read batches admitted by the rate limiter
kv_tenant_rate_limit_read_bytes_admitted,cockroachdb.kv.tenant_rate_limit.read_bytes_admitted.count,Number of read bytes admitted by the rate limiter
kv_tenant_rate_limit_read_requests_admitted,cockroachdb.kv.tenant_rate_limit.read_requests_admitted.count,Number of read requests admitted by the rate limiter
kv_tenant_rate_limit_write_batches_admitted,cockroachdb.kv.tenant_rate_limit.write_batches_admitted.count,Number of write batches admitted by the rate limiter
kv_tenant_rate_limit_write_bytes_admitted,cockroachdb.kv.tenant_rate_limit.write_bytes_admitted.count,Number of write bytes admitted by the rate limiter
kv_tenant_rate_limit_write_requests_admitted,cockroachdb.kv.tenant_rate_limit.write_requests_admitted.count,Number of write requests admitted by the rate limiter
kvadmission_flow_controller_elastic_blocked_stream_count,cockroachdb.kvadmission.flow_controller.elastic_blocked_stream_count,Number of replication streams with no flow tokens available for elastic requests
kvadmission_flow_controller_elastic_requests_admitted,cockroachdb.kvadmission.flow_controller.elastic_requests_admitted.count,Number of elastic requests admitted by the flow controller
kvadmission_flow_controller_elastic_requests_bypassed,cockroachdb.kvadmission.flow_controller.elastic_requests_bypassed.count,Number of elastic waiting requests that bypassed the flow controller due to disconnecting streams
kvadmission_flow_controller_elastic_requests_errored,cockroachdb.kvadmission.flow_controller.elastic_requests_errored.count,Number of elastic requests that errored out while waiting for flow tokens
kvadmission_flow_controller_elastic_requests_waiting,cockroachdb.kvadmission.flow_controller.elastic_requests_waiting,Number of elastic requests waiting for flow tokens
kvadmission_flow_controller_elastic_stream_count,cockroachdb.kvadmission.flow_controller.elastic_stream_count,Total number of replication streams for elastic requests
kvadmission_flow_controller_elastic_tokens_available,cockroachdb.kvadmission.flow_controller.elastic_tokens_available,"Flow tokens available for elastic requests, across all replication streams"
kvadmission_flow_controller_elastic_tokens_deducted,cockroachdb.kvadmission.flow_controller.elastic_tokens_deducted.count,"Flow tokens deducted by elastic requests, across all replication streams"
kvadmission_flow_controller_elastic_tokens_returned,cockroachdb.kvadmission.flow_controller.elastic_tokens_returned.count,"Flow tokens returned by elastic requests, across all replication streams"
kvadmission_flow_controller_elastic_tokens_unaccounted,cockroachdb.kvadmission.flow_controller.elastic_tokens_unaccounted.count,"Flow tokens returned by elastic requests that were unaccounted for, across all replication streams"
kvadmission_flow_controller_elastic_wait_duration,cockroachdb.kvadmission.flow_controller.elastic_wait_duration.count,Latency histogram for time elastic requests spent waiting for flow tokens
kvadmission_flow_controller_regular_blocked_stream_count,cockroachdb.kvadmission.flow_controller.regular_blocked_stream_count,Number of replication streams with no flow tokens available for regular requests
kvadmission_flow_controller_regular_requests_admitted,cockroachdb.kvadmission.flow_controller.regular_requests_admitted.count,Number of regular requests admitted by the flow controller
kvadmission_flow_controller_regular_requests_bypassed,cockroachdb.kvadmission.flow_controller.regular_requests_bypassed.count,Number of regular waiting requests that bypassed the flow controller due to disconnecting streams
kvadmission_flow_controller_regular_requests_errored,cockroachdb.kvadmission.flow_controller.regular_requests_errored.count,Number of regular requests that errored out while waiting for flow tokens
kvadmission_flow_controller_regular_requests_waiting,cockroachdb.kvadmission.flow_controller.regular_requests_waiting,Number of regular requests waiting for flow tokens
kvadmission_flow_controller_regular_stream_count,cockroachdb.kvadmission.flow_controller.regular_stream_count,Total number of replication streams for regular requests
kvadmission_flow_controller_regular_tokens_available,cockroachdb.kvadmission.flow_controller.regular_tokens_available,"Flow tokens available for regular requests, across all replication streams"
kvadmission_flow_controller_regular_tokens_deducted,cockroachdb.kvadmission.flow_controller.regular_tokens_deducted.count,"Flow tokens deducted by regular requests, across all replication streams"
kvadmission_flow_controller_regular_tokens_returned,cockroachdb.kvadmission.flow_controller.regular_tokens_returned.count,"Flow tokens returned by regular requests, across all replication streams"
kvadmission_flow_controller_regular_tokens_unaccounted,cockroachdb.kvadmission.flow_controller.regular_tokens_unaccounted.count,"Flow tokens returned by regular requests that were unaccounted for, across all replication streams"
kvadmission_flow_controller_regular_wait_duration,cockroachdb.kvadmission.flow_controller.regular_wait_duration.count,Latency histogram for time regular requests spent waiting for flow tokens
kvadmission_flow_handle_elastic_requests_admitted,cockroachdb.kvadmission.flow_handle.elastic_requests_admitted.count,Number of elastic requests admitted by the flow handle
kvadmission_flow_handle_elastic_requests_errored,cockroachdb.kvadmission.flow_handle.elastic_requests_errored.count,"Number of elastic requests that errored out while waiting for flow tokens, at the handle level"
kvadmission_flow_handle_elastic_requests_waiting,cockroachdb.kvadmission.flow_handle.elastic_requests_waiting,"Number of elastic requests waiting for flow tokens, at the handle level"
kvadmission_flow_handle_elastic_wait_duration,cockroachdb.kvadmission.flow_handle.elastic_wait_duration.count,"Latency histogram for time elastic requests spent waiting for flow tokens, at the handle level"
kvadmission_flow_handle_regular_requests_admitted,cockroachdb.kvadmission.flow_handle.regular_requests_admitted.count,Number of regular requests admitted by the flow handle
kvadmission_flow_handle_regular_requests_errored,cockroachdb.kvadmission.flow_handle.regular_requests_errored.count,"Number of regular requests that errored out while waiting for flow tokens, at the handle level"
kvadmission_flow_handle_regular_requests_waiting,cockroachdb.kvadmission.flow_handle.regular_requests_waiting,"Number of regular requests waiting for flow tokens, at the handle level"
kvadmission_flow_handle_regular_wait_duration,cockroachdb.kvadmission.flow_handle.regular_wait_duration.count,"Latency histogram for time regular requests spent waiting for flow tokens, at the handle level"
kvadmission_flow_handle_streams_connected,cockroachdb.kvadmission.flow_handle.streams_connected.count,"Number of times we've connected to a stream, at the handle level"
kvadmission_flow_handle_streams_disconnected,cockroachdb.kvadmission.flow_handle.streams_disconnected.count,"Number of times we've disconnected from a stream, at the handle level"
kvadmission_flow_token_dispatch_coalesced_elastic,cockroachdb.kvadmission.flow_token_dispatch.coalesced_elastic.count,Number of coalesced elastic flow token dispatches (where we're informing the sender of a higher log entry being admitted)
kvadmission_flow_token_dispatch_coalesced_regular,cockroachdb.kvadmission.flow_token_dispatch.coalesced_regular.count,Number of coalesced regular flow token dispatches (where we're informing the sender of a higher log entry being admitted)
kvadmission_flow_token_dispatch_local_elastic,cockroachdb.kvadmission.flow_token_dispatch.local_elastic.count,Number of local elastic flow token dispatches
kvadmission_flow_token_dispatch_local_regular,cockroachdb.kvadmission.flow_token_dispatch.local_regular.count,Number of local regular flow token dispatches
kvadmission_flow_token_dispatch_pending_elastic,cockroachdb.kvadmission.flow_token_dispatch.pending_elastic,Number of pending elastic flow token dispatches
kvadmission_flow_token_dispatch_pending_nodes,cockroachdb.kvadmission.flow_token_dispatch.pending_nodes,Number of nodes pending flow token dispatches
kvadmission_flow_token_dispatch_pending_regular,cockroachdb.kvadmission.flow_token_dispatch.pending_regular,Number of pending regular flow token dispatches
kvadmission_flow_token_dispatch_remote_elastic,cockroachdb.kvadmission.flow_token_dispatch.remote_elastic.count,Number of remote elastic flow token dispatches
kvadmission_flow_token_dispatch_remote_regular,cockroachdb.kvadmission.flow_token_dispatch.remote_regular.count,Number of remote regular flow token dispatches
leases_epoch,cockroachdb.leases.epoch,Number of replica leaseholders using epoch-based leases
leases_error,cockroachdb.leases.error.count,Number of failed lease requests
leases_expiration,cockroachdb.leases.expiration,Number of replica leaseholders using expiration-based leases
leases_liveness,cockroachdb.leases.liveness,Number of replica leaseholders for the liveness range(s)
leases_preferences_less_preferred,cockroachdb.leases.preferences.less_preferred,Number of replica leaseholders which satisfy a lease preference which is not the most preferred
leases_preferences_violating,cockroachdb.leases.preferences.violating,Number of replica leaseholders which violate lease preferences
leases_requests_latency,cockroachdb.leases.requests.latency.count,"Lease request latency (all types and outcomes, coalesced)"
leases_success,cockroachdb.leases.success.count,Number of successful lease requests
leases_transfers_error,cockroachdb.leases.transfers.error.count,Number of failed lease transfers
leases_transfers_success,cockroachdb.leases.transfers.success.count,Number of successful lease transfers
livebytes,cockroachdb.livebytes,Number of bytes of live data (keys plus values)
livecount,cockroachdb.livecount,Count of live keys
liveness_epochincrements,cockroachdb.liveness.epochincrements.count,Number of times this node has incremented its liveness epoch
liveness_heartbeatfailures,cockroachdb.liveness.heartbeatfailures.count,Number of failed node liveness heartbeats from this node
liveness_heartbeatlatency,cockroachdb.liveness.heartbeatlatency.count,Node liveness heartbeat latency
liveness_heartbeatsinflight,cockroachdb.liveness.heartbeatsinflight,Number of in-flight liveness heartbeats from this node
liveness_heartbeatsuccesses,cockroachdb.liveness.heartbeatsuccesses.count,Number of successful node liveness heartbeats from this node
liveness_livenodes,cockroachdb.liveness.livenodes,Number of live nodes in the cluster (will be 0 if this node is not itself live)
lockbytes,cockroachdb.lockbytes,"Number of bytes taken up by replicated lock key-values (shared and exclusive strength, not intent strength)"
lockcount,cockroachdb.lockcount,"Count of replicated locks (shared, exclusive, and intent strength)"
log_buffered_messages_dropped,cockroachdb.log.buffered.messages.dropped.count,"Count of log messages that are dropped by buffered log sinks. When CRDB attempts to buffer a log message in a buffered log sink whose buffer is already full, it drops the oldest buffered messages to make space for the new message"
log_fluent_sink_conn_errors,cockroachdb.log.fluent.sink.conn.errors.count,Number of connection errors experienced by fluent-server logging sinks
log_messages_count,cockroachdb.log.messages.count,Count of messages logged on the node since startup. Note that this does not measure the fan-out of single log messages to the various configured logging sinks.
node_id,cockroachdb.node_id,node ID with labels for advertised RPC and HTTP addresses
physical_replication_admit_latency,cockroachdb.physical_replication.admit_latency.count,Event admission latency: a difference between event MVCC timestamp and the time it was admitted into ingestion processor
physical_replication_commit_latency,cockroachdb.physical_replication.commit_latency.count,"Event commit latency: a difference between event MVCC timestamp and the time it was flushed into disk. If we batch events, then the difference between the oldest event in the batch and flush is recorded"
physical_replication_distsql_replan_count,cockroachdb.physical_replication.distsql_replan_count.count,Total number of dist sql replanning events
physical_replication_events_ingested,cockroachdb.physical_replication.events_ingested.count,Events ingested by all replication jobs
physical_replication_failover_progress,cockroachdb.physical_replication.cutover_progress,The number of ranges left to revert in order to complete an inflight cutover
physical_replication_flush_hist_nanos,cockroachdb.physical_replication.flush_hist_nanos.count,Time spent flushing messages across all replication streams
physical_replication_flushes,cockroachdb.physical_replication.flushes.count,Total flushes across all replication jobs
physical_replication_logical_bytes,cockroachdb.physical_replication.logical_bytes.count,Logical bytes (sum of keys + values) ingested by all replication jobs
physical_replication_replicated_time_seconds,cockroachdb.physical_replication.replicated_time_seconds,The replicated time of the physical replication stream in seconds since the unix epoch.
physical_replication_resolved_events_ingested,cockroachdb.physical_replication.resolved_events_ingested.count,Resolved events ingested by all replication jobs
physical_replication_running,cockroachdb.physical_replication.running,Number of currently running replication streams
queue_consistency_pending,cockroachdb.queue.consistency.pending,Number of pending replicas in the consistency checker queue
queue_consistency_process_failure,cockroachdb.queue.consistency.process.failure.count,Number of replicas which failed processing in the consistency checker queue
queue_consistency_process_success,cockroachdb.queue.consistency.process.success.count,Number of replicas successfully processed by the consistency checker queue
queue_consistency_processingnanos,cockroachdb.queue.consistency.processingnanos.count,Nanoseconds spent processing replicas in the consistency checker queue
queue_gc_info_abortspanconsidered,cockroachdb.queue.gc.info.abortspanconsidered.count,Number of AbortSpan entries old enough to be considered for removal
queue_gc_info_abortspangcnum,cockroachdb.queue.gc.info.abortspangcnum.count,Number of AbortSpan entries fit for removal
queue_gc_info_abortspanscanned,cockroachdb.queue.gc.info.abortspanscanned.count,Number of transactions present in the AbortSpan scanned from the engine
queue_gc_info_clearrangefailed,cockroachdb.queue.gc.info.clearrangefailed.count,Number of failed ClearRange operations during GC
queue_gc_info_clearrangesuccess,cockroachdb.queue.gc.info.clearrangesuccess.count,Number of successful ClearRange operations during GC
queue_gc_info_enqueuehighpriority,cockroachdb.queue.gc.info.enqueuehighpriority.count,Number of replicas enqueued for GC with high priority
queue_gc_info_intentsconsidered,cockroachdb.queue.gc.info.intentsconsidered.count,Number of 'old' intents
queue_gc_info_intenttxns,cockroachdb.queue.gc.info.intenttxns.count,Number of associated distinct transactions
queue_gc_info_intenttxns,cockroachdb.queue.gc.info.intenttxns,Number of associated distinct transactions
queue_gc_info_numkeysaffected,cockroachdb.queue.gc.info.numkeysaffected.count,Number of keys with GC'able data
queue_gc_info_numrangekeysaffected,cockroachdb.queue.gc.info.numrangekeysaffected.count,Number of range keys GC'able
queue_gc_info_pushtxn,cockroachdb.queue.gc.info.pushtxn,Number of attempted pushes
queue_gc_info_pushtxn,cockroachdb.queue.gc.info.pushtxn.count,Number of attempted pushes
queue_gc_info_resolvefailed,cockroachdb.queue.gc.info.resolvefailed.count,Number of cleanup intent failures during GC
queue_gc_info_resolvesuccess,cockroachdb.queue.gc.info.resolvesuccess.count,Number of successful intent resolutions
queue_gc_info_resolvetotal,cockroachdb.queue.gc.info.resolvetotal.count,Number of attempted intent resolutions
queue_gc_info_transactionresolvefailed,cockroachdb.queue.gc.info.transactionresolvefailed.count,Number of intent cleanup failures for local transactions during GC
queue_gc_info_transactionspangcaborted,cockroachdb.queue.gc.info.transactionspangcaborted.count,Number of GC'able entries corresponding to aborted txns
queue_gc_info_transactionspangccommitted,cockroachdb.queue.gc.info.transactionspangccommitted.count,Number of GC'able entries corresponding to committed txns
queue_gc_info_transactionspangcpending,cockroachdb.queue.gc.info.transactionspangcpending.count,Number of GC'able entries corresponding to pending txns
queue_gc_info_transactionspangcstaging,cockroachdb.queue.gc.info.transactionspangcstaging.count,Number of GC'able entries corresponding to staging txns
queue_gc_info_transactionspanscanned,cockroachdb.queue.gc.info.transactionspanscanned.count,Number of entries in transaction spans scanned from the engine
queue_gc_pending,cockroachdb.queue.gc.pending,Number of pending replicas in the MVCC GC queue
queue_gc_process_failure,cockroachdb.queue.gc.process.failure.count,Number of replicas which failed processing in the MVCC GC queue
queue_gc_process_success,cockroachdb.queue.gc.process.success.count,Number of replicas successfully processed by the MVCC GC queue
queue_gc_processingnanos,cockroachdb.queue.gc.processingnanos.count,Nanoseconds spent processing replicas in the MVCC GC queue
queue_merge_pending,cockroachdb.queue.merge.pending,Number of pending replicas in the merge queue
queue_merge_process_failure,cockroachdb.queue.merge.process.failure.count,Number of replicas which failed processing in the merge queue
queue_merge_process_success,cockroachdb.queue.merge.process.success.count,Number of replicas successfully processed by the merge queue
queue_merge_processingnanos,cockroachdb.queue.merge.processingnanos.count,Nanoseconds spent processing replicas in the merge queue
queue_merge_purgatory,cockroachdb.queue.merge.purgatory,"Number of replicas in the merge queue's purgatory, waiting to become mergeable"
queue_raftlog_pending,cockroachdb.queue.raftlog.pending,Number of pending replicas in the Raft log queue
queue_raftlog_process_failure,cockroachdb.queue.raftlog.process.failure.count,Number of replicas which failed processing in the Raft log queue
queue_raftlog_process_success,cockroachdb.queue.raftlog.process.success.count,Number of replicas successfully processed by the Raft log queue
queue_raftlog_processingnanos,cockroachdb.queue.raftlog.processingnanos.count,Nanoseconds spent processing replicas in the Raft log queue
queue_raftsnapshot_pending,cockroachdb.queue.raftsnapshot.pending,Number of pending replicas in the Raft repair queue
queue_raftsnapshot_process_failure,cockroachdb.queue.raftsnapshot.process.failure.count,Number of replicas which failed processing in the Raft repair queue
queue_raftsnapshot_process_success,cockroachdb.queue.raftsnapshot.process.success.count,Number of replicas successfully processed by the Raft repair queue
queue_raftsnapshot_processingnanos,cockroachdb.queue.raftsnapshot.processingnanos.count,Nanoseconds spent processing replicas in the Raft repair queue
queue_replicagc_pending,cockroachdb.queue.replicagc.pending,Number of pending replicas in the replica GC queue
queue_replicagc_process_failure,cockroachdb.queue.replicagc.process.failure.count,Number of replicas which failed processing in the replica GC queue
queue_replicagc_process_success,cockroachdb.queue.replicagc.process.success.count,Number of replicas successfully processed by the replica GC queue
queue_replicagc_processingnanos,cockroachdb.queue.replicagc.processingnanos.count,Nanoseconds spent processing replicas in the replica GC queue
queue_replicagc_removereplica,cockroachdb.queue.replicagc.removereplica.count,Number of replica removals attempted by the replica GC queue
queue_replicate_addnonvoterreplica,cockroachdb.queue.replicate.addnonvoterreplica.count,Number of non-voter replica additions attempted by the replicate queue
queue_replicate_addreplica,cockroachdb.queue.replicate.addreplica.count,Number of replica additions attempted by the replicate queue
queue_replicate_addreplica_error,cockroachdb.queue.replicate.addreplica.error.count,Number of failed replica additions processed by the replicate queue
queue_replicate_addreplica_success,cockroachdb.queue.replicate.addreplica.success.count,Number of successful replica additions processed by the replicate queue
queue_replicate_addvoterreplica,cockroachdb.queue.replicate.addvoterreplica.count,Number of voter replica additions attempted by the replicate queue
queue_replicate_nonvoterpromotions,cockroachdb.queue.replicate.nonvoterpromotions.count,Number of non-voters promoted to voters by the replicate queue
queue_replicate_pending,cockroachdb.queue.replicate.pending,Number of pending replicas in the replicate queue
queue_replicate_process_failure,cockroachdb.queue.replicate.process.failure.count,Number of replicas which failed processing in the replicate queue
queue_replicate_process_success,cockroachdb.queue.replicate.process.success.count,Number of replicas successfully processed by the replicate queue
queue_replicate_processingnanos,cockroachdb.queue.replicate.processingnanos.count,Nanoseconds spent processing replicas in the replicate queue
queue_replicate_purgatory,cockroachdb.queue.replicate.purgatory,"Number of replicas in the replicate queue's purgatory, awaiting allocation options"
queue_replicate_rebalancenonvoterreplica,cockroachdb.queue.replicate.rebalancenonvoterreplica.count,Number of non-voter replica rebalancer-initiated additions attempted by the replicate queue
queue_replicate_rebalancereplica,cockroachdb.queue.replicate.rebalancereplica.count,Number of replica rebalancer-initiated additions attempted by the replicate queue
queue_replicate_rebalancevoterreplica,cockroachdb.queue.replicate.rebalancevoterreplica.count,Number of voter replica rebalancer-initiated additions attempted by the replicate queue
queue_replicate_removedeadnonvoterreplica,cockroachdb.queue.replicate.removedeadnonvoterreplica.count,Number of dead non-voter replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removedeadreplica,cockroachdb.queue.replicate.removedeadreplica.count,Number of dead replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removedeadreplica_error,cockroachdb.queue.replicate.removedeadreplica.error.count,Number of failed dead replica removals processed by the replicate queue
queue_replicate_removedeadreplica_success,cockroachdb.queue.replicate.removedeadreplica.success.count,Number of successful dead replica removals processed by the replicate queue
queue_replicate_removedeadvoterreplica,cockroachdb.queue.replicate.removedeadvoterreplica.count,Number of dead voter replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removedecommissioningnonvoterreplica,cockroachdb.queue.replicate.removedecommissioningnonvoterreplica.count,Number of decommissioning non-voter replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removedecommissioningreplica,cockroachdb.queue.replicate.removedecommissioningreplica.count,Number of decommissioning replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removedecommissioningreplica_error,cockroachdb.queue.replicate.removedecommissioningreplica.error.count,Number of failed decommissioning replica removals processed by the replicate queue
queue_replicate_removedecommissioningreplica_success,cockroachdb.queue.replicate.removedecommissioningreplica.success.count,Number of successful decommissioning replica removals processed by the replicate queue
queue_replicate_removedecommissioningvoterreplica,cockroachdb.queue.replicate.removedecommissioningvoterreplica.count,Number of decommissioning voter replica removals attempted by the replicate queue (typically in response to a node outage)
queue_replicate_removelearnerreplica,cockroachdb.queue.replicate.removelearnerreplica.count,Number of learner replica removals attempted by the replicate queue (typically due to internal race conditions)
queue_replicate_removenonvoterreplica,cockroachdb.queue.replicate.removenonvoterreplica.count,Number of non-voter replica removals attempted by the replicate queue (typically in response to a rebalancer-initiated addition)
queue_replicate_removereplica,cockroachdb.queue.replicate.removereplica.count,Number of replica removals attempted by the replicate queue (typically in response to a rebalancer-initiated addition)
queue_replicate_removereplica_error,cockroachdb.queue.replicate.removereplica.error.count,Number of failed replica removals processed by the replicate queue
queue_replicate_removereplica_success,cockroachdb.queue.replicate.removereplica.success.count,Number of successful replica removals processed by the replicate queue
queue_replicate_removevoterreplica,cockroachdb.queue.replicate.removevoterreplica.count,Number of voter replica removals attempted by the replicate queue (typically in response to a rebalancer-initiated addition)
queue_replicate_replacedeadreplica_error,cockroachdb.queue.replicate.replacedeadreplica.error.count,Number of failed dead replica replacements processed by the replicate queue
queue_replicate_replacedeadreplica_success,cockroachdb.queue.replicate.replacedeadreplica.success.count,Number of successful dead replica replacements processed by the replicate queue
queue_replicate_replacedecommissioningreplica_error,cockroachdb.queue.replicate.replacedecommissioningreplica.error.count,Number of failed decommissioning replica replacements processed by the replicate queue
queue_replicate_replacedecommissioningreplica_success,cockroachdb.queue.replicate.replacedecommissioningreplica.success.count,Number of successful decommissioning replica replacements processed by the replicate queue
queue_replicate_transferlease,cockroachdb.queue.replicate.transferlease.count,Number of range lease transfers attempted by the replicate queue
queue_replicate_voterdemotions,cockroachdb.queue.replicate.voterdemotions.count,Number of voters demoted to non-voters by the replicate queue
queue_split_load_based,cockroachdb.queue.split.load_based.count,Number of range splits due to a range being greater than the configured max range load
queue_split_process_failure,cockroachdb.queue.split.process.failure.count,Number of replicas which failed processing in the split queue
queue_split_process_success,cockroachdb.queue.split.process.success.count,Number of replicas successfully processed by the split queue
queue_split_processingnanos,cockroachdb.queue.split.processingnanos.count,Nanoseconds spent processing replicas in the split queue
queue_split_purgatory,cockroachdb.queue.split.purgatory,"Number of replicas in the split queue's purgatory, waiting to become splittable"
queue_split_size_based,cockroachdb.queue.split.size_based.count,Number of range splits due to a range being greater than the configured max range size
queue_split_span_config_based,cockroachdb.queue.split.span_config_based.count,Number of range splits due to span configuration
queue_tsmaintenance_pending,cockroachdb.queue.tsmaintenance.pending,Number of pending replicas in the time series maintenance queue
queue_tsmaintenance_process_failure,cockroachdb.queue.tsmaintenance.process.failure.count,Number of replicas which failed processing in the time series maintenance queue
queue_tsmaintenance_process_success,cockroachdb.queue.tsmaintenance.process.success.count,Number of replicas successfully processed by the time series maintenance queue
queue_tsmaintenance_processingnanos,cockroachdb.queue.tsmaintenance.processingnanos.count,Nanoseconds spent processing replicas in the time series maintenance queue
raft_commands_proposed,cockroachdb.raft.commands.proposed.count,Number of Raft commands proposed. The number of proposals and all kinds of reproposals made by leaseholders. This metric approximates the number of commands submitted through Raft.
raft_commands_reproposed_new_lai,cockroachdb.raft.commands.reproposed.new_lai.count,"Number of Raft commands re-proposed with a newer LAI. The number of Raft commands that leaseholders re-proposed with a modified LAI. Such re-proposals happen for commands that are committed to Raft out of intended order, and hence can not be applied as is."
